truth,predicted,count
Oklahoma Attorney General Reports,Alabama Court of Appeals,0
Oregon Supreme Court,Alabama Court of Appeals,2
Oregon Tax Court,Alabama Court of Appeals,0
South Dakota Supreme Court,Alabama Court of Appeals,0
Superior Court of Delaware,Alabama Court of Appeals,0
Superior Court of North Carolina,Alabama Court of Appeals,0
Superior Court of Pennsylvania,Alabama Court of Appeals,15
Superior Court of Rhode Island,Alabama Court of Appeals,0
Supreme Court of Alabama,Alabama Court of Appeals,4
Supreme Court of Arkansas,Alabama Court of Appeals,0
Supreme Court of Colorado,Alabama Court of Appeals,0
Supreme Court of Connecticut,Alabama Court of Appeals,0
Supreme Court of Delaware,Alabama Court of Appeals,5
Supreme Court of Florida,Alabama Court of Appeals,8
Supreme Court of Georgia,Alabama Court of Appeals,0
Supreme Court of Iowa,Alabama Court of Appeals,0
Supreme Court of Kansas,Alabama Court of Appeals,0
Supreme Court of Louisiana,Alabama Court of Appeals,3
Supreme Court of Minnesota,Alabama Court of Appeals,2
Supreme Court of Missouri,Alabama Court of Appeals,6
Supreme Court of New Hampshire,Alabama Court of Appeals,0
Supreme Court of New Jersey,Alabama Court of Appeals,1
Supreme Court of North Carolina,Alabama Court of Appeals,0
Supreme Court of Oklahoma,Alabama Court of Appeals,0
Supreme Court of Pennsylvania,Alabama Court of Appeals,0
Supreme Court of Puerto Rico,Alabama Court of Appeals,0
Supreme Court of Rhode Island,Alabama Court of Appeals,0
Supreme Court of South Carolina,Alabama Court of Appeals,0
Supreme Court of the United States,Alabama Court of Appeals,42
Supreme Court of Vermont,Alabama Court of Appeals,0
Supreme Court of Virginia,Alabama Court of Appeals,0
Tennessee Superior Court for Law and Equity,Alabama Court of Appeals,0
Tennessee Supreme Court,Alabama Court of Appeals,0
Texas Attorney General Reports,Alabama Court of Appeals,1
"Texas Court of Appeals, 10th District (Waco)",Alabama Court of Appeals,0
"Texas Court of Appeals, 11th District (Eastland)",Alabama Court of Appeals,0
"Texas Court of Appeals, 12th District (Tyler)",Alabama Court of Appeals,1
"Texas Court of Appeals, 13th District",Alabama Court of Appeals,0
"Texas Court of Appeals, 2nd District (Fort Worth)",Alabama Court of Appeals,7
"Texas Court of Appeals, 3rd District (Austin)",Alabama Court of Appeals,0
"Texas Court of Appeals, 4th District (San Antonio)",Alabama Court of Appeals,0
"Texas Court of Appeals, 6th District (Texarkana)",Alabama Court of Appeals,0
"Texas Court of Appeals, 7th District (Amarillo)",Alabama Court of Appeals,0
"Texas Court of Appeals, 8th District (El Paso)",Alabama Court of Appeals,0
"Texas Court of Appeals, 9th District (Beaumont)",Alabama Court of Appeals,1
Texas Supreme Court,Alabama Court of Appeals,0
U.S. Circuit Court for the District of District of Columbia,Alabama Court of Appeals,0
U.S. Circuit Court for the District of Massachusetts,Alabama Court of Appeals,0
United States Board of Tax Appeals,Alabama Court of Appeals,0
United States Court of International Trade,Alabama Court of Appeals,0
Utah Supreme Court,Alabama Court of Appeals,0
Washington Supreme Court,Alabama Court of Appeals,0
Wisconsin Supreme Court,Alabama Court of Appeals,0
Alabama Court of Appeals,Alaska Supreme Court,2
Alaska Supreme Court,Alaska Supreme Court,0
Appellate Court of Illinois,Alaska Supreme Court,33
Appellate Division of the Supreme Court of the State of New York,Alaska Supreme Court,0
Arizona Supreme Court,Alaska Supreme Court,1
Arkansas Attorney General Reports,Alaska Supreme Court,0
Board of Veterans' Appeals,Alaska Supreme Court,0
California Court of Appeal,Alaska Supreme Court,0
California Supreme Court,Alaska Supreme Court,0
Colorado Attorney General Reports,Alaska Supreme Court,0
Colorado Court of Appeals,Alaska Supreme Court,0
Commonwealth Court of Pennsylvania,Alaska Supreme Court,0
Connecticut Appellate Court,Alaska Supreme Court,0
Connecticut Superior Court,Alaska Supreme Court,7
Court for the Trial of Impeachments and Correction of Errors,Alaska Supreme Court,0
Court of Appeals for the D.C. Circuit,Alaska Supreme Court,0
Court of Appeals for the Eighth Circuit,Alaska Supreme Court,0
Court of Appeals for the Eleventh Circuit,Alaska Supreme Court,1
Court of Appeals for the Federal Circuit,Alaska Supreme Court,0
Court of Appeals for the Fifth Circuit,Alaska Supreme Court,2
Court of Appeals for the First Circuit,Alaska Supreme Court,2
Court of Appeals for the Fourth Circuit,Alaska Supreme Court,0
Court of Appeals for the Ninth Circuit,Alaska Supreme Court,3
Court of Appeals for the Second Circuit,Alaska Supreme Court,0
Court of Appeals for the Seventh Circuit,Alaska Supreme Court,0
Court of Appeals for the Sixth Circuit,Alaska Supreme Court,0
Court of Appeals for the Tenth Circuit,Alaska Supreme Court,0
Court of Appeals for the Third Circuit,Alaska Supreme Court,1
Court of Appeals of Arkansas,Alaska Supreme Court,0
Court of Appeals of Georgia,Alaska Supreme Court,0
Court of Appeals of Iowa,Alaska Supreme Court,0
Court of Appeals of Kansas,Alaska Supreme Court,4
Court of Appeals of Kentucky (pre-1976),Alaska Supreme Court,0
Court of Appeals of Maryland,Alaska Supreme Court,2
Court of Appeals of Minnesota,Alaska Supreme Court,0
Court of Appeals of Mississippi,Alaska Supreme Court,1
Court of Appeals of North Carolina,Alaska Supreme Court,8
Court of Appeals of Oregon,Alaska Supreme Court,3
Court of Appeals of South Carolina,Alaska Supreme Court,0
Court of Appeals of Texas,Alaska Supreme Court,0
Court of Appeals of Washington,Alaska Supreme Court,0
Court of Appeals of Wisconsin,Alaska Supreme Court,1
Court of Chancery of Delaware,Alaska Supreme Court,0
Court of Civil Appeals of Alabama,Alaska Supreme Court,4
Court of Claims of Illinois,Alaska Supreme Court,1
Court of Criminal Appeals of Alabama,Alaska Supreme Court,11
Court of Criminal Appeals of Oklahoma,Alaska Supreme Court,0
Court of Criminal Appeals of Texas,Alaska Supreme Court,1
Court of Customs and Patent Appeals,Alaska Supreme Court,0
Court of King's Bench,Alaska Supreme Court,0
District Court of Appeal of Florida,Alaska Supreme Court,1
"District Court, C.D. California",Alaska Supreme Court,0
"District Court, D. Alaska",Alaska Supreme Court,0
"District Court, D. Arizona",Alaska Supreme Court,0
"District Court, D. Massachusetts",Alaska Supreme Court,0
"District Court, D. New Hampshire",Alaska Supreme Court,0
"District Court, D. New Jersey",Alaska Supreme Court,0
"District Court, D. South Carolina",Alaska Supreme Court,0
"District Court, District of Columbia",Alaska Supreme Court,0
"District Court, E.D. California",Alaska Supreme Court,0
"District Court, E.D. New York",Alaska Supreme Court,0
"District Court, E.D. Pennsylvania",Alaska Supreme Court,0
"District Court, M.D. Florida",Alaska Supreme Court,0
"District Court, N.D. California",Alaska Supreme Court,0
"District Court, N.D. Illinois",Alaska Supreme Court,0
"District Court, N.D. Indiana",Alaska Supreme Court,0
"District Court, S.D. Florida",Alaska Supreme Court,0
"District Court, S.D. Illinois",Alaska Supreme Court,0
"District Court, S.D. New York",Alaska Supreme Court,0
"District Court, W.D. Michigan",Alaska Supreme Court,0
District of Columbia Court of Appeals,Alaska Supreme Court,0
Florida Attorney General Reports,Alaska Supreme Court,0
Florida Fifth District Court of Appeal,Alaska Supreme Court,0
Florida First District Court of Appeal,Alaska Supreme Court,0
Florida Fourth District Court of Appeal,Alaska Supreme Court,0
Florida Second District Court of Appeal,Alaska Supreme Court,0
Florida Third District Court of Appeal,Alaska Supreme Court,0
Hawaii Intermediate Court of Appeals,Alaska Supreme Court,1
Hawaii Supreme Court,Alaska Supreme Court,0
Idaho Court of Appeals,Alaska Supreme Court,0
Idaho Supreme Court,Alaska Supreme Court,0
Illinois Supreme Court,Alaska Supreme Court,5
Indiana Court of Appeals,Alaska Supreme Court,0
Indiana Supreme Court,Alaska Supreme Court,0
Louisiana Attorney General Reports,Alaska Supreme Court,2
Louisiana Court of Appeal,Alaska Supreme Court,1
Massachusetts Appeals Court,Alaska Supreme Court,0
Massachusetts Supreme Judicial Court,Alaska Supreme Court,0
Michigan Supreme Court,Alaska Supreme Court,1
Mississippi Supreme Court,Alaska Supreme Court,2
Missouri Attorney General Reports,Alaska Supreme Court,3
Missouri Court of Appeals,Alaska Supreme Court,0
Montana Supreme Court,Alaska Supreme Court,2
Nebraska Attorney General Reports,Alaska Supreme Court,1
Nebraska Court of Appeals,Alaska Supreme Court,0
Nevada Supreme Court,Alaska Supreme Court,6
New Jersey Court of Chancery,Alaska Supreme Court,0
New Jersey Superior Court Appellate Division,Alaska Supreme Court,1
New Jersey Tax Court,Alaska Supreme Court,0
New Mexico Supreme Court,Alaska Supreme Court,1
New York Attorney General Reports,Alaska Supreme Court,0
New York Court of Appeals,Alaska Supreme Court,5
New York Supreme Court,Alaska Supreme Court,1
New York Surrogate's Court,Alaska Supreme Court,0
North Carolina Industrial Commission,Alaska Supreme Court,6
North Dakota Supreme Court,Alaska Supreme Court,0
Ohio Court of Appeals,Alaska Supreme Court,4
Ohio Supreme Court,Alaska Supreme Court,2
Oklahoma Attorney General Reports,Alaska Supreme Court,2
Oregon Supreme Court,Alaska Supreme Court,4
Oregon Tax Court,Alaska Supreme Court,0
South Dakota Supreme Court,Alaska Supreme Court,1
Superior Court of Delaware,Alaska Supreme Court,0
Superior Court of North Carolina,Alaska Supreme Court,1
Superior Court of Pennsylvania,Alaska Supreme Court,5
Superior Court of Rhode Island,Alaska Supreme Court,0
Supreme Court of Alabama,Alaska Supreme Court,3
Supreme Court of Arkansas,Alaska Supreme Court,1
Supreme Court of Colorado,Alaska Supreme Court,0
Supreme Court of Connecticut,Alaska Supreme Court,1
Supreme Court of Delaware,Alaska Supreme Court,3
Supreme Court of Florida,Alaska Supreme Court,7
Supreme Court of Georgia,Alaska Supreme Court,1
Supreme Court of Iowa,Alaska Supreme Court,0
Supreme Court of Kansas,Alaska Supreme Court,0
Supreme Court of Louisiana,Alaska Supreme Court,3
Supreme Court of Minnesota,Alaska Supreme Court,0
Supreme Court of Missouri,Alaska Supreme Court,3
Supreme Court of New Hampshire,Alaska Supreme Court,0
Supreme Court of New Jersey,Alaska Supreme Court,2
Supreme Court of North Carolina,Alaska Supreme Court,4
Supreme Court of Oklahoma,Alaska Supreme Court,1
Supreme Court of Pennsylvania,Alaska Supreme Court,0
Supreme Court of Puerto Rico,Alaska Supreme Court,0
Supreme Court of Rhode Island,Alaska Supreme Court,0
Supreme Court of South Carolina,Alaska Supreme Court,0
Supreme Court of the United States,Alaska Supreme Court,48
Supreme Court of Vermont,Alaska Supreme Court,0
Supreme Court of Virginia,Alaska Supreme Court,0
Tennessee Superior Court for Law and Equity,Alaska Supreme Court,0
Tennessee Supreme Court,Alaska Supreme Court,0
Texas Attorney General Reports,Alaska Supreme Court,1
"Texas Court of Appeals, 10th District (Waco)",Alaska Supreme Court,0
"Texas Court of Appeals, 11th District (Eastland)",Alaska Supreme Court,0
"Texas Court of Appeals, 12th District (Tyler)",Alaska Supreme Court,1
"Texas Court of Appeals, 13th District",Alaska Supreme Court,0
"Texas Court of Appeals, 2nd District (Fort Worth)",Alaska Supreme Court,1
"Texas Court of Appeals, 3rd District (Austin)",Alaska Supreme Court,0
"Texas Court of Appeals, 4th District (San Antonio)",Alaska Supreme Court,0
"Texas Court of Appeals, 6th District (Texarkana)",Alaska Supreme Court,0
"Texas Court of Appeals, 7th District (Amarillo)",Alaska Supreme Court,3
"Texas Court of Appeals, 8th District (El Paso)",Alaska Supreme Court,0
"Texas Court of Appeals, 9th District (Beaumont)",Alaska Supreme Court,0
Texas Supreme Court,Alaska Supreme Court,1
U.S. Circuit Court for the District of District of Columbia,Alaska Supreme Court,0
U.S. Circuit Court for the District of Massachusetts,Alaska Supreme Court,0
United States Board of Tax Appeals,Alaska Supreme Court,0
United States Court of International Trade,Alaska Supreme Court,0
Utah Supreme Court,Alaska Supreme Court,0
Washington Supreme Court,Alaska Supreme Court,0
Wisconsin Supreme Court,Alaska Supreme Court,0
Alabama Court of Appeals,Appellate Court of Illinois,3
Alaska Supreme Court,Appellate Court of Illinois,0
Appellate Court of Illinois,Appellate Court of Illinois,31
Appellate Division of the Supreme Court of the State of New York,Appellate Court of Illinois,0
Arizona Supreme Court,Appellate Court of Illinois,0
Arkansas Attorney General Reports,Appellate Court of Illinois,2
Board of Veterans' Appeals,Appellate Court of Illinois,0
California Court of Appeal,Appellate Court of Illinois,1
California Supreme Court,Appellate Court of Illinois,0
Colorado Attorney General Reports,Appellate Court of Illinois,0
Colorado Court of Appeals,Appellate Court of Illinois,0
Commonwealth Court of Pennsylvania,Appellate Court of Illinois,1
Connecticut Appellate Court,Appellate Court of Illinois,0
Connecticut Superior Court,Appellate Court of Illinois,4
Court for the Trial of Impeachments and Correction of Errors,Appellate Court of Illinois,0
Court of Appeals for the D.C. Circuit,Appellate Court of Illinois,0
Court of Appeals for the Eighth Circuit,Appellate Court of Illinois,0
Court of Appeals for the Eleventh Circuit,Appellate Court of Illinois,1
Court of Appeals for the Federal Circuit,Appellate Court of Illinois,0
Court of Appeals for the Fifth Circuit,Appellate Court of Illinois,3
Court of Appeals for the First Circuit,Appellate Court of Illinois,0
Court of Appeals for the Fourth Circuit,Appellate Court of Illinois,0
Court of Appeals for the Ninth Circuit,Appellate Court of Illinois,1
Court of Appeals for the Second Circuit,Appellate Court of Illinois,0
Court of Appeals for the Seventh Circuit,Appellate Court of Illinois,0
Court of Appeals for the Sixth Circuit,Appellate Court of Illinois,0
Court of Appeals for the Tenth Circuit,Appellate Court of Illinois,0
Court of Appeals for the Third Circuit,Appellate Court of Illinois,0
Court of Appeals of Arkansas,Appellate Court of Illinois,0
Court of Appeals of Georgia,Appellate Court of Illinois,0
Court of Appeals of Iowa,Appellate Court of Illinois,0
Court of Appeals of Kansas,Appellate Court of Illinois,0
Court of Appeals of Kentucky (pre-1976),Appellate Court of Illinois,1
Court of Appeals of Maryland,Appellate Court of Illinois,0
Court of Appeals of Minnesota,Appellate Court of Illinois,0
Court of Appeals of Mississippi,Appellate Court of Illinois,0
Court of Appeals of North Carolina,Appellate Court of Illinois,9
Court of Appeals of Oregon,Appellate Court of Illinois,1
Court of Appeals of South Carolina,Appellate Court of Illinois,0
Court of Appeals of Texas,Appellate Court of Illinois,0
Court of Appeals of Washington,Appellate Court of Illinois,0
Court of Appeals of Wisconsin,Appellate Court of Illinois,3
Court of Chancery of Delaware,Appellate Court of Illinois,0
Court of Civil Appeals of Alabama,Appellate Court of Illinois,4
Court of Claims of Illinois,Appellate Court of Illinois,1
Court of Criminal Appeals of Alabama,Appellate Court of Illinois,6
Court of Criminal Appeals of Oklahoma,Appellate Court of Illinois,0
Court of Criminal Appeals of Texas,Appellate Court of Illinois,2
Court of Customs and Patent Appeals,Appellate Court of Illinois,0
Court of King's Bench,Appellate Court of Illinois,0
District Court of Appeal of Florida,Appellate Court of Illinois,1
"District Court, C.D. California",Appellate Court of Illinois,0
"District Court, D. Alaska",Appellate Court of Illinois,0
"District Court, D. Arizona",Appellate Court of Illinois,0
"District Court, D. Massachusetts",Appellate Court of Illinois,0
"District Court, D. New Hampshire",Appellate Court of Illinois,0
"District Court, D. New Jersey",Appellate Court of Illinois,0
"District Court, D. South Carolina",Appellate Court of Illinois,0
"District Court, District of Columbia",Appellate Court of Illinois,0
"District Court, E.D. California",Appellate Court of Illinois,0
"District Court, E.D. New York",Appellate Court of Illinois,0
"District Court, E.D. Pennsylvania",Appellate Court of Illinois,0
"District Court, M.D. Florida",Appellate Court of Illinois,0
"District Court, N.D. California",Appellate Court of Illinois,0
"District Court, N.D. Illinois",Appellate Court of Illinois,0
"District Court, N.D. Indiana",Appellate Court of Illinois,0
"District Court, S.D. Florida",Appellate Court of Illinois,0
"District Court, S.D. Illinois",Appellate Court of Illinois,0
"District Court, S.D. New York",Appellate Court of Illinois,0
"District Court, W.D. Michigan",Appellate Court of Illinois,0
District of Columbia Court of Appeals,Appellate Court of Illinois,0
Florida Attorney General Reports,Appellate Court of Illinois,0
Florida Fifth District Court of Appeal,Appellate Court of Illinois,0
Florida First District Court of Appeal,Appellate Court of Illinois,0
Florida Fourth District Court of Appeal,Appellate Court of Illinois,0
Florida Second District Court of Appeal,Appellate Court of Illinois,0
Florida Third District Court of Appeal,Appellate Court of Illinois,0
Hawaii Intermediate Court of Appeals,Appellate Court of Illinois,1
Hawaii Supreme Court,Appellate Court of Illinois,0
Idaho Court of Appeals,Appellate Court of Illinois,0
Idaho Supreme Court,Appellate Court of Illinois,0
Illinois Supreme Court,Appellate Court of Illinois,3
Indiana Court of Appeals,Appellate Court of Illinois,0
Indiana Supreme Court,Appellate Court of Illinois,0
Louisiana Attorney General Reports,Appellate Court of Illinois,0
Louisiana Court of Appeal,Appellate Court of Illinois,2
Massachusetts Appeals Court,Appellate Court of Illinois,0
Massachusetts Supreme Judicial Court,Appellate Court of Illinois,0
Michigan Supreme Court,Appellate Court of Illinois,0
Mississippi Supreme Court,Appellate Court of Illinois,0
Missouri Attorney General Reports,Appellate Court of Illinois,3
Missouri Court of Appeals,Appellate Court of Illinois,3
Montana Supreme Court,Appellate Court of Illinois,0
Nebraska Attorney General Reports,Appellate Court of Illinois,2
Nebraska Court of Appeals,Appellate Court of Illinois,0
Nevada Supreme Court,Appellate Court of Illinois,3
New Jersey Court of Chancery,Appellate Court of Illinois,0
New Jersey Superior Court Appellate Division,Appellate Court of Illinois,0
New Jersey Tax Court,Appellate Court of Illinois,0
New Mexico Supreme Court,Appellate Court of Illinois,1
New York Attorney General Reports,Appellate Court of Illinois,0
New York Court of Appeals,Appellate Court of Illinois,3
New York Supreme Court,Appellate Court of Illinois,0
New York Surrogate's Court,Appellate Court of Illinois,0
North Carolina Industrial Commission,Appellate Court of Illinois,2
North Dakota Supreme Court,Appellate Court of Illinois,1
Ohio Court of Appeals,Appellate Court of Illinois,7
Ohio Supreme Court,Appellate Court of Illinois,5
Oklahoma Attorney General Reports,Appellate Court of Illinois,2
Oregon Supreme Court,Appellate Court of Illinois,0
Oregon Tax Court,Appellate Court of Illinois,0
South Dakota Supreme Court,Appellate Court of Illinois,1
Superior Court of Delaware,Appellate Court of Illinois,0
Superior Court of North Carolina,Appellate Court of Illinois,1
Superior Court of Pennsylvania,Appellate Court of Illinois,9
Superior Court of Rhode Island,Appellate Court of Illinois,0
Supreme Court of Alabama,Appellate Court of Illinois,0
Supreme Court of Arkansas,Appellate Court of Illinois,0
Supreme Court of Colorado,Appellate Court of Illinois,0
Supreme Court of Connecticut,Appellate Court of Illinois,0
Supreme Court of Delaware,Appellate Court of Illinois,1
Supreme Court of Florida,Appellate Court of Illinois,8
Supreme Court of Georgia,Appellate Court of Illinois,2
Supreme Court of Iowa,Appellate Court of Illinois,0
Supreme Court of Kansas,Appellate Court of Illinois,0
Supreme Court of Louisiana,Appellate Court of Illinois,4
Supreme Court of Minnesota,Appellate Court of Illinois,0
Supreme Court of Missouri,Appellate Court of Illinois,1
Supreme Court of New Hampshire,Appellate Court of Illinois,0
Supreme Court of New Jersey,Appellate Court of Illinois,0
Supreme Court of North Carolina,Appellate Court of Illinois,7
Supreme Court of Oklahoma,Appellate Court of Illinois,0
Supreme Court of Pennsylvania,Appellate Court of Illinois,3
Supreme Court of Puerto Rico,Appellate Court of Illinois,0
Supreme Court of Rhode Island,Appellate Court of Illinois,1
Supreme Court of South Carolina,Appellate Court of Illinois,0
Supreme Court of the United States,Appellate Court of Illinois,42
Supreme Court of Vermont,Appellate Court of Illinois,0
Supreme Court of Virginia,Appellate Court of Illinois,0
Tennessee Superior Court for Law and Equity,Appellate Court of Illinois,0
Tennessee Supreme Court,Appellate Court of Illinois,0
Texas Attorney General Reports,Appellate Court of Illinois,0
"Texas Court of Appeals, 10th District (Waco)",Appellate Court of Illinois,0
"Texas Court of Appeals, 11th District (Eastland)",Appellate Court of Illinois,0
"Texas Court of Appeals, 12th District (Tyler)",Appellate Court of Illinois,0
"Texas Court of Appeals, 13th District",Appellate Court of Illinois,0
"Texas Court of Appeals, 2nd District (Fort Worth)",Appellate Court of Illinois,2
"Texas Court of Appeals, 3rd District (Austin)",Appellate Court of Illinois,0
"Texas Court of Appeals, 4th District (San Antonio)",Appellate Court of Illinois,1
"Texas Court of Appeals, 6th District (Texarkana)",Appellate Court of Illinois,0
"Texas Court of Appeals, 7th District (Amarillo)",Appellate Court of Illinois,3
"Texas Court of Appeals, 8th District (El Paso)",Appellate Court of Illinois,0
"Texas Court of Appeals, 9th District (Beaumont)",Appellate Court of Illinois,0
Texas Supreme Court,Appellate Court of Illinois,1
U.S. Circuit Court for the District of District of Columbia,Appellate Court of Illinois,0
U.S. Circuit Court for the District of Massachusetts,Appellate Court of Illinois,0
United States Board of Tax Appeals,Appellate Court of Illinois,0
United States Court of International Trade,Appellate Court of Illinois,0
Utah Supreme Court,Appellate Court of Illinois,0
Washington Supreme Court,Appellate Court of Illinois,0
Wisconsin Supreme Court,Appellate Court of Illinois,1
Alabama Court of Appeals,Appellate Division of the Supreme Court of the State of New York,0
Alaska Supreme Court,Appellate Division of the Supreme Court of the State of New York,0
Appellate Court of Illinois,Appellate Division of the Supreme Court of the State of New York,30
Appellate Division of the Supreme Court of the State of New York,Appellate Division of the Supreme Court of the State of New York,0
Arizona Supreme Court,Appellate Division of the Supreme Court of the State of New York,0
Arkansas Attorney General Reports,Appellate Division of the Supreme Court of the State of New York,0
Board of Veterans' Appeals,Appellate Division of the Supreme Court of the State of New York,0
California Court of Appeal,Appellate Division of the Supreme Court of the State of New York,0
California Supreme Court,Appellate Division of the Supreme Court of the State of New York,0
Colorado Attorney General Reports,Appellate Division of the Supreme Court of the State of New York,0
Colorado Court of Appeals,Appellate Division of the Supreme Court of the State of New York,0
Commonwealth Court of Pennsylvania,Appellate Division of the Supreme Court of the State of New York,1
Connecticut Appellate Court,Appellate Division of the Supreme Court of the State of New York,0
Connecticut Superior Court,Appellate Division of the Supreme Court of the State of New York,8
Court for the Trial of Impeachments and Correction of Errors,Appellate Division of the Supreme Court of the State of New York,1
